Entry	Entry Name	Reviewed	Protein names	Gene Names	Organism	Length
A0A174TK78	A0A174TK78_9BACE	unreviewed	Beta-glycosidase (EC 3.2.1.73) (Glycoside hydrolase family 16 protein)	bglA_5 DW190_07485 DW794_15185 DWY26_17235 DXA49_02580 ERS852494_03890 F2Y31_20770 F2Y39_15605	Bacteroides caccae	258
A0A182DVL8	A0A182DVL8_9ACTN	unreviewed	Hyaluronidase (EC 3.2.1.35)		Streptomyces koyangensis	217
A0A1C5YG41	A0A1C5YG41_9CLOT	unreviewed	beta-galactosidase (EC 3.2.1.23)	uidA_2 SAMEA3545339_03359	uncultured Clostridium sp	585
A0A1D6QTZ9	A0A1D6QTZ9_MAIZE	unreviewed	Beta-amylase (EC 3.2.1.2)	ZEAMMB73_Zm00001d053975	Zea mays (Maize)	584
A0A1L1QK16	A0A1L1QK16_9ACTN	unreviewed	Beta-1,4-mannanase (EC 3.2.1.78)		Streptomyces sp. NRRL B-16215	168
A0A1P8VKA0	A0A1P8VKA0_9BACL	unreviewed	Beta-glucosidase (EC 3.2.1.21)		Paenibacillus barengoltzii	932
A0A1S4NYE2	A0A1S4NYE2_9BACL	unreviewed	Beta-1,3-glucanase (EC 3.2.1.39)		Paenibacillus barengoltzii	424
A0A1Y4JW59	A0A1Y4JW59_9BACE	unreviewed	Poly(Beta-D-mannuronate) lyase	B5F24_03600	Bacteroides clarus	757
A0A218KCJ1	A0A218KCJ1_9CAUD	unreviewed	lysozyme (EC 3.2.1.17)	PBC5_032	Bacillus phage PBC5	339
A0A221ZS22	A0A221ZS22_OSTFU	unreviewed	Group II chitinase (EC 3.2.1.14)		Ostrinia furnacalis (Asian corn borer)	2929
A0A286RCT9	A0A286RCT9_9BACT	unreviewed	Endoglucanase (EC 3.2.1.4)	THTE_1171	Thermogutta terrifontis	531
A0A290U7C4	ROQ1_NICBE	reviewed	Disease resistance protein Roq1 (2' cyclic ADP-D-ribose synthase) (2'cADPR synthase Roq1) (EC 3.2.2.-) (NAD(+) hydrolase RPV1) (EC 3.2.2.6) (Recognition of XopQ 1 protein)	ROQ1	Nicotiana benthamiana	1306
A0A2N0UU23	A0A2N0UU23_9FIRM	unreviewed	Pullulanase (EC 3.2.1.41)	pulA_2 RBL236_00821	Ruminococcus bromii	1059
A0A2N0UXJ4	A0A2N0UXJ4_9FIRM	unreviewed	Alpha-amylase (EC 3.2.1.1)	RBL236_00453	Ruminococcus bromii	551
A0A384E148	A0A384E148_NICBE	unreviewed	Alpha-galactosidase (EC 3.2.1.22) (Melibiase)		Nicotiana benthamiana	363
A0A399DY85	A0A399DY85_9DEIN	unreviewed	Endoglucanase H (EC 3.2.1.4)	celH Mcate_01854	Meiothermus taiwanensis	470
A0A482A9N4	A0A482A9N4_TALVE	unreviewed	Endo-beta-1,4-glucanase D (Endoglucanase D) (EC 3.2.1.4) (Carboxymethylcellulase D) (Cellulase D)	lpmo1	Talaromyces verruculosus (Penicillium verruculosum)	328
A0A482G4C5	A0A482G4C5_9BACL	unreviewed	Beta-N-acetylglucosaminidase (EC 3.2.1.52)		Paenibacillus barengoltzii	345
A0A4V8GZQ7	A0A4V8GZQ7_9FIRM	unreviewed	Glycoside hydrolase WP_045175321 (EC 3.2.1.-)		Caldicellulosiruptor danielii	27
A0A4V8H013	A0A4V8H013_TALFU	unreviewed	Endo-beta-1,2-glucanase (EC 3.2.1.71)		Talaromyces funiculosus (Fruitlet core rot fungus) (Penicillium funiculosum)	449
A0A516RTC5	A0A516RTC5_9FLAO	unreviewed	Beta-agarase (EC 3.2.1.81)	Aga86A	Wenyingzhuangia sp. OF219	735
A0A5S8WF56	A0A5S8WF56_9BACL	unreviewed	GH3 beta-N-acetylglucosaminidase (EC 3.2.1.52)		Paenibacillaceae	535
A0A5S8WFA6	A0A5S8WFA6_9BACT	unreviewed	Exosialidase from uncultured bacterium pG7 (EC 3.2.1.18)		uncultured bacterium pG7	511
A0A650AJ72	A0A650AJ72_9GAMM	unreviewed	Endochitinase Chi23 (EC 3.2.1.14)	chi23	Pseudoalteromonas aurantia	280
A0A6B9HEB8	A0A6B9HEB8_NIACI	unreviewed	Endo-alpha-1,6-D-mannanase (EC 3.2.1.101)	enm	Niallia circulans (Bacillus circulans)	1084
A0A6M5K904	A0A6M5K904_NIACI	unreviewed	beta-galactosidase (EC 3.2.1.23)		Niallia circulans (Bacillus circulans)	1396
A0A6N3BKT0	A0A6N3BKT0_RUMGN	unreviewed	Beta-L-arabinobiosidase (EC 3.2.1.187)	hypBA2 RGLFYP19_01198	Ruminococcus gnavus	1915
A0A7S6G7I6	A0A7S6G7I6_9PEZI	unreviewed	Lysozyme (EC 3.2.1.17)		Trichobolus zukalii	225
A0A856TAI5	A0A856TAI5_9BASI	unreviewed	Beta-fructofuranosidase (EC 3.2.1.26)	INV	Rhodotorula dairenensis	675
A0A8X6EH14	A0A8X6EH14_9BACT	unreviewed	Xylan alpha-1,2-glucuronidase (EC 3.2.1.131)		uncultured bacterium	841
A0A915Q9D1	A0A915Q9D1_9PEZI	unreviewed	Glycoside hydrolase family 12 beta-1,3-1,4-glucanase (EC 3.2.1.73)		Chaetomium sp	227
A0KGU9	A0KGU9_AERHH	unreviewed	MTA/SAH nucleosidase (EC 3.2.2.16, EC 3.2.2.9)	mtnN-1 AHA_0953	Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / BCRC 13018 / CCUG 14551 / JCM 1027 / KCTC 2358 / NCIMB 9240 / NCTC 8049)	257
A0QP43	A0QP43_MYCS2	unreviewed	Type-4 uracil-DNA glycosylase (EC 3.2.2.27)	MSMEG_0265	Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155) (Mycobacterium smegmatis)	209
A1E266	A1E266_9PEZI	unreviewed	Endopolygalacturonase (EC 3.2.1.15)	Pg1	Colletotrichum lupini var. setosum (nom. inval.)	362
A1RBZ5	A1RBZ5_PAEAT	unreviewed	Beta-N-acetylhexosaminidase (EC 3.2.1.52)	nahA AAur_4089	Paenarthrobacter aurescens (strain TC1)	540
A1Z1Q3	MACD2_HUMAN	reviewed	ADP-ribose glycohydrolase MACROD2 (MACRO domain-containing protein 2) (O-acetyl-ADP-ribose deacetylase MACROD2) (EC 3.5.1.-) ([Protein ADP-ribosylaspartate] hydrolase MACROD2) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase MACROD2) (EC 3.2.2.-)	MACROD2 C20orf133	Homo sapiens (Human)	425
A2QTU5	XYLA_ASPNC	reviewed	Alpha-xylosidase A (EC 3.2.1.177)	axlA An09g03300	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	736
A2RM80	A2RM80_LACLM	unreviewed	Alpha-xylosidase (EC 3.2.1.-)	xylS llmg_1836	Lactococcus lactis subsp. cremoris (strain MG1363)	739
A3DBX3	GUB_ACET2	reviewed	Beta-glucanase (EC 3.2.1.73) (1,3-1,4-beta-D-glucan 4-glucanohydrolase) (Endo-beta-1,3-1,4 glucanase) (Laminarinase) (Lichenase)	licB lam1 Cthe_0211	Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) (Clostridium thermocellum)	334
A3DC29	GUNA_ACET2	reviewed	Endoglucanase A (EGA) (EC 3.2.1.4) (Cellulase A) (Endo-1,4-beta-glucanase)	celA Cthe_0269	Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) (Clostridium thermocellum)	477
A3DCH2	A3DCH2_ACET2	unreviewed	Glucanase (EC 3.2.1.-)	Cthe_0413	Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) (Clostridium thermocellum)	1224
A3DCY5	A3DCY5_ACET2	unreviewed	Glucanase (EC 3.2.1.-)	Cthe_0578	Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) (Clostridium thermocellum)	736
A3DD66	ENG1_ACET2	reviewed	Glucan endo-1,3-beta-D-glucosidase (Endo-1,3-beta-glucanase) (EC 3.2.1.39) (CtLam81A) (Laminarinase)	Lam81A Cthe_0660	Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) (Clostridium thermocellum)	773
A4FNP6	A4FNP6_SACEN	unreviewed	Beta-glucosidase (Glucan 1,4-beta-glucosidase (EC 3.2.1.74))	celD SACE_6502 A8924_6851	Saccharopolyspora erythraea (strain ATCC 11635 / DSM 40517 / JCM 4748 / NBRC 13426 / NCIMB 8594 / NRRL 2338)	615
A4Q8F7	GH109_ELIME	reviewed	Alpha-N-acetylgalactosaminidase (EC 3.2.1.49) (Glycosyl hydrolase family 109 protein)	nagA	Elizabethkingia meningoseptica (Chryseobacterium meningosepticum)	444
A4XHB2	A4XHB2_CALS8	unreviewed	Cellulase (EC 3.2.1.4)	Csac_0678	Caldicellulosiruptor saccharolyticus (strain ATCC 43494 / DSM 8903 / Tp8T 6331)	756
A5FB64	A5FB64_FLAJ1	unreviewed	Beta-N-acetylglucosaminidase-like protein Glycoside hydrolase family 20 (EC 3.2.1.52)	Fjoh_4556	Flavobacterium johnsoniae (strain ATCC 17061 / DSM 2064 / JCM 8514 / NBRC 14942 / NCIMB 11054 / UW101) (Cytophaga johnsonae)	688
A5IKC8	A5IKC8_THEP1	unreviewed	Alpha-N-arabinofuranosidase (EC 3.2.1.55)	Tpet_0631	Thermotoga petrophila (strain ATCC BAA-488 / DSM 13995 / JCM 10881 / RKU-1)	484
A5IMX7	A5IMX7_THEP1	unreviewed	mannan endo-1,4-beta-mannosidase (EC 3.2.1.78)	Tpet_1542	Thermotoga petrophila (strain ATCC BAA-488 / DSM 13995 / JCM 10881 / RKU-1)	667
A6LGF6	SOPH_PARD8	reviewed	Exo beta-1,2-glucooligosaccharide sophorohydrolase (non-reducing end) (EC 3.2.1.214) (2-beta-D-glucooligosaccharide sophorohydrolase (non-reducing end)) (Beta-1,2-glucanase)	BDI_3064	Parabacteroides distasonis (strain ATCC 8503 / DSM 20701 / CIP 104284 / JCM 5825 / NCTC 11152)	721
A7AB45	A7AB45_9BACT	unreviewed	Pectate lyase superfamily protein domain-containing protein	PARMER_00599	Parabacteroides merdae ATCC 43184	250
A7LXT0	GH31A_BACO1	reviewed	Alpha-xylosidase BoGH31A (EC 3.2.1.177) (Glycosyl hydrolase family protein 31A) (BoGH31A)	BACOVA_02646	Bacteroides ovatus (strain ATCC 8483 / DSM 1896 / JCM 5824 / BCRC 10623 / CCUG 4943 / NCTC 11153)	954
B0KBZ7	B0KBZ7_THEP3	unreviewed	Dextranase (EC 3.2.1.11)	Teth39_0264	Thermoanaerobacter pseudethanolicus (strain ATCC 33223 / 39E) (Clostridium thermohydrosulfuricum)	610
B2IUW9	B2IUW9_NOSP7	unreviewed	Alpha amylase, catalytic region (EC 3.2.1.54)	Npun_R6073	Nostoc punctiforme (strain ATCC 29133 / PCC 73102)	488
B2UPR7	H2136_AKKM8	reviewed	Beta-hexosaminidase Amuc_2136 (EC 3.2.1.52) (Beta-N-acetylhexosaminidase Am2136)	Amuc_2136	Akkermansia muciniphila (strain ATCC BAA-835 / DSM 22959 / JCM 33894 / BCRC 81048 / CCUG 64013 / CIP 107961 / Muc)	756
B3PD52	B3PD52_CELJU	unreviewed	Cellulase, putative, cel5D (EC 3.2.1.4)	cel5D CJA_3010	Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa)	468
B3PKK9	B3PKK9_CELJU	unreviewed	Endo-1,4-beta-glucanase/xyloglucanase, putative, gly74A (EC 3.2.1.-)	gly74A CJA_2477	Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa)	1017
B3TLD6	LNBB_BIFB1	reviewed	Lacto-N-biosidase (LNBase) (EC 3.2.1.140)	lnbB	Bifidobacterium bifidum (strain DSM 20082 / JCM 1254 / BCRC 11844 / KCTC 3440 / E319f (Variant a))	1112
B5CY96	PORA_PHOPM	reviewed	Beta-porphyranase A (EC 3.2.1.178) (Glycosyl hydrolase 86 family protein A) (GH86A)	BACPLE_01693	Phocaeicola plebeius (strain DSM 17135 / JCM 12973 / M2) (Bacteroides plebeius)	728
B5YC64	B5YC64_DICT6	unreviewed	alpha-L-rhamnosidase (EC 3.2.1.40)	DICTH_0289	Dictyoglomus thermophilum (strain ATCC 35947 / DSM 3960 / H-6-12)	921
B6A876	CHI1_YERET	reviewed	Chitinase 1 (EC 3.2.1.14)	chi1	Yersinia entomophaga	542
B6D7J9	B6D7J9_9CAUD	unreviewed	lysozyme (EC 3.2.1.17)		Listeria phage P40	344
B8CZ54	B8CZ54_HALOH	unreviewed	Alpha amylase (EC 3.2.1.98)	Hore_18240	Halothermothrix orenii (strain H 168 / OCM 544 / DSM 9562)	623
B8ZY56	B8ZY56_GIBZA	unreviewed	Exo-1,5-alpha-L-arabinofuranobiosidase (EC 3.2.1.55)	arb93a	Gibberella zeae (Wheat head blight fungus) (Fusarium graminearum)	365
C0LT34	C0LT34_9INFB	unreviewed	Neuraminidase (EC 3.2.1.18)	NA	Influenza B virus (B/Brisbane/60/2008)	466
C0MAL8	THSA_STRE4	reviewed	NAD(+) hydrolase ThsA (NADase ThsA) (SeThsA) (EC 3.2.2.5)	thsA SEQ_0761	Streptococcus equi subsp. equi (strain 4047)	473
C5A758	C5A758_THEGJ	unreviewed	Amylo-alpha-1,6-glucosidase, putative archaeal type glycogen debranching enzyme (Gde) (EC 3.2.1.33)	gde TGAM_1568	Thermococcus gammatolerans (strain DSM 15229 / JCM 11827 / EJ3)	620
C7R4I0	C7R4I0_JONDD	unreviewed	Chitinase (EC 3.2.1.14)	Jden_1381	Jonesia denitrificans (strain ATCC 14870 / DSM 20603 / BCRC 15368 / CIP 55.134 / JCM 11481 / NBRC 15587 / NCTC 10816 / Prevot 55134) (Listeria denitrificans)	651
D1C7A6	QNG1_SPHTD	reviewed	Queuosine 5'-phosphate N-glycosylase/hydrolase (EC 3.2.2.-) (Queuine salvage protein Qng1) (Queuosine-nucleotide N-glycosylase/hydrolase)	Sthe_2331; qng1	Sphaerobacter thermophilus (strain DSM 20745 / S 6022)	323
D1L2W4	TUBE1_BPK32	reviewed	Tail tubular protein A (TTPA) (Depolymerase) (EC 3.2.1.-) (Gene product 31) (gp31)	31	Klebsiella phage KP32 (Bacteriophage KP32)	192
D2PPM7	AIMA_KRIFD	reviewed	1,3-alpha-isomaltosidase (EC 3.2.1.204)	Kfla_1895	Kribbella flavida (strain DSM 17836 / JCM 10339 / NBRC 14399)	723
D2PPM8	IMGH_KRIFD	reviewed	Isomaltose glucohydrolase (EC 3.2.1.205)	Kfla_1896	Kribbella flavida (strain DSM 17836 / JCM 10339 / NBRC 14399)	385
D4QAP5	D4QAP5_BIFBI	unreviewed	Beta-N-acetylhexosaminidase (EC 3.2.1.52) (Beta-n-acetylhexosaminidase NagZ)	bbhII B0085_1802	Bifidobacterium bifidum	1060
D7GXF9	PORB_ZOBGA	reviewed	Beta-porphyranase B (EC 3.2.1.178)	porB zobellia_1017	Zobellia galactanivorans (strain DSM 12802 / CCUG 47099 / CIP 106680 / NCIMB 13871 / Dsij)	293
D7GXG4	AGAD_ZOBGA	reviewed	Beta-agarase D (EC 3.2.1.81)	agaD zobellia_4243	Zobellia galactanivorans (strain DSM 12802 / CCUG 47099 / CIP 106680 / NCIMB 13871 / Dsij)	477
D7GXG5	AGAC_ZOBGA	reviewed	Beta-agarase C (EC 3.2.1.81)	agaC zobellia_4267	Zobellia galactanivorans (strain DSM 12802 / CCUG 47099 / CIP 106680 / NCIMB 13871 / Dsij)	328
D9IEF7	D9IEF7_BPT4	unreviewed	Endolysin (EC 3.2.1.17) (Lysis protein) (Lysozyme) (Muramidase)	e T4Tp126	Enterobacteria phage T4 (Bacteriophage T4)	164
D9ISE0	D9ISE0_VIBHA	unreviewed	beta-N-acetylhexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)		Vibrio harveyi (Beneckea harveyi)	642
D9SV64	D9SV64_CLOC7	unreviewed	Cellulase (EC 3.2.1.4)	Clocel_3359	Clostridium cellulovorans (strain ATCC 35296 / DSM 3052 / OCM 3 / 743B)	1067
D9ZNF3	D9ZNF3_9CAUD	unreviewed	lysozyme (EC 3.2.1.17)	phiCTP1_gp29	Clostridium phage phiCTP1	274
E0RYY0	E0RYY0_BUTPB	unreviewed	Xylosidase/arabinofuranosidase Xsa43E (EC 3.2.1.37)	xsa43E bpr_I2319	Butyrivibrio proteoclasticus (strain ATCC 51982 / DSM 14932 / B316) (Clostridium proteoclasticum)	313
E0SSW8	E0SSW8_IGNAA	unreviewed	Arabinogalactan endo-1,4-beta-galactosidase (EC 3.2.1.89)	Igag_0688	Ignisphaera aggregans (strain DSM 17230 / JCM 13409 / AQ1.S1)	810
E0XN39	E0XN39_9EURO	unreviewed	Beta-1,3-1,4-glucanase (EC 3.2.1.73)		Paecilomyces sp. 'thermophila'	314
E1AXU1	E1AXU1_9PSED	unreviewed	Chitosanase (EC 3.2.1.132)	CHI	Pseudomonas sp. LL2(2010)	266
E2GHW2	E2GHW2_PODAS	unreviewed	GH26 endo-beta-1,4-mannanase (EC 3.2.1.78)		Podospora anserina (Pleurage anserina)	449
E2GHW5	E2GHW5_PODAS	unreviewed	Alpha-L-arabinofuranosidase (EC 3.2.1.55)		Podospora anserina (Pleurage anserina)	337
E2NM07	E2NM07_9BACE	unreviewed	Poly(Beta-D-mannuronate) lyase	BACCELL_05351	Bacteroides cellulosilyticus DSM 14838	465
E3PQQ9	E3PQQ9_PANTH	unreviewed	Alpha-L-fucosidase (EC 3.2.1.51)	aLfuk1 NCTC11027_02066	Paenibacillus thiaminolyticus (Bacillus thiaminolyticus)	426
E8MGH8	HYBA1_BIFL2	reviewed	Non-reducing end beta-L-arabinofuranosidase (EC 3.2.1.185) (Beta-L-arabinofuranosidase) (Beta-AFase)	hypBA1 BLLJ_0211	Bifidobacterium longum subsp. longum (strain ATCC 15707 / DSM 20219 / JCM 1217 / NCTC 11818 / E194b)	658
E8MGH9	HYBA2_BIFL2	reviewed	Beta-L-arabinobiosidase (EC 3.2.1.187) (Arabinofuranosyl(3)-Hyp beta-L-arabinobiosidase)	hypBA2 BLLJ_0212	Bifidobacterium longum subsp. longum (strain ATCC 15707 / DSM 20219 / JCM 1217 / NCTC 11818 / E194b)	1943
E8RMG8	E8RMG8_ASTEC	unreviewed	Lysozyme (EC 3.2.1.17)	Astex_1112	Asticcacaulis excentricus (strain ATCC 15261 / DSM 4724 / KCTC 12464 / NCIMB 9791 / VKM B-1370 / CB 48)	810
F0R2T3	F0R2T3_PHOSB	unreviewed	Cellulase (EC 3.2.1.4)	Bacsa_0886	Phocaeicola salanitronis (strain DSM 18170 / JCM 13657 / BL78) (Bacteroides salanitronis)	592
F0V1E2	F0V1E2_ZOBGA	unreviewed	Conserved hypothetical periplasmic protein (Glycoside hydrolase (EC 3.2.1.-))	zobellia_3615	Zobellia galactanivorans (strain DSM 12802 / CCUG 47099 / CIP 106680 / NCIMB 13871 / Dsij)	414
F0V1E3	F0V1E3_ZOBGA	unreviewed	3,6-anhydro-alpha-L-galactosidase (EC 3.2.1.159)	ahgA Zg4663 zobellia_4663	Zobellia galactanivorans (strain DSM 12802 / CCUG 47099 / CIP 106680 / NCIMB 13871 / Dsij)	408
F1TBY8	F1TBY8_9FIRM	unreviewed	cellulase (EC 3.2.1.4)	Cpap_2855	Ruminiclostridium papyrosolvens DSM 2782	628
F5HR99	F5HR99_9ACTN	unreviewed	Endoglucanase (EC 3.2.1.4)		Streptomyces thermolilacinus	561
F6BL85	F6BL85_THEXL	unreviewed	Glucosylceramidase (EC 3.2.1.45)	Thexy_2211	Thermoanaerobacterium xylanolyticum (strain ATCC 49914 / DSM 7097 / LX-11)	806
F8TRX0	F8TRX0_GEOSE	unreviewed	Beta-galactosidase (Beta-gal) (EC 3.2.1.23)	ganB	Geobacillus stearothermophilus (Bacillus stearothermophilus)	686
F9USZ1	F9USZ1_LACPL	unreviewed	Alpha-amylase, maltodextrins and cyclomaltodextrins (EC 3.2.1.1)	malS lp_0179	Lactiplantibacillus plantarum (strain ATCC BAA-793 / NCIMB 8826 / WCFS1) (Lactobacillus plantarum)	440
G0L2L9	G0L2L9_ZOBGA	unreviewed	Endo-1,3-beta-glucanase, family GH16 (EC 3.2.1.39)	lamC zobellia_1010	Zobellia galactanivorans (strain DSM 12802 / CCUG 47099 / CIP 106680 / NCIMB 13871 / Dsij)	482
G0L322	AGAA_ZOBGA	reviewed	Beta-agarase A (EC 3.2.1.81) [Cleaved into: Beta-agarase A catalytic chain (AgaAc)]	agaA zobellia_4203	Zobellia galactanivorans (strain DSM 12802 / CCUG 47099 / CIP 106680 / NCIMB 13871 / Dsij)	539
G0L5X4	G0L5X4_ZOBGA	unreviewed	Endo-1,3-beta-glucanase, family GH16 (EC 3.2.1.39)	lamA zobellia_2431	Zobellia galactanivorans (strain DSM 12802 / CCUG 47099 / CIP 106680 / NCIMB 13871 / Dsij)	383
G0S3F2	G0S3F2_CHATD	unreviewed	Mannan endo-1,6-alpha-mannosidase (EC 3.2.1.101)	CTHT_0020800	Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) (Thermochaetoides thermophila)	474
G0SFD1	G0SFD1_CHATD	unreviewed	Mannosyl-oligosaccharide glucosidase (EC 3.2.1.106)	CTHT_0061620	Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) (Thermochaetoides thermophila)	831
G1ED17	G1ED17_CELCE	unreviewed	Beta-1,3-glucanase (EC 3.2.1.39)		Cellulosimicrobium cellulans (Arthrobacter luteus)	435
G1UB44	MELA_LACAC	reviewed	Alpha-galactosidase Mel36A (LaMel36A) (EC 3.2.1.22)	melA aga LBA1438	Lactobacillus acidophilus (strain ATCC 700396 / NCK56 / N2 / NCFM)	732
G2NFJ9	LAM55_STREK	reviewed	Exo-beta-1,3-glucanase (EC 3.2.1.58) (Glucan 1,3-beta-glucosidase) (Laminarinase) (SacteLam55A)	SACTE_4363	Streptomyces sp. (strain SirexAA-E / ActE)	605
G3JPF7	G3JPF7_CORMM	unreviewed	Chitinase	CCM_08020	Cordyceps militaris (strain CM01) (Caterpillar fungus)	315
G4FEF4	AGAL_THEMA	reviewed	Alpha-galactosidase (EC 3.2.1.22) (Melibiase)	galA TM_1192 Tmari_1199	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)	552
